country,total.migration2spain,mean.track.duration_ms,mean.track.explicit,mean.danceability,mean.energy,mean.key,mean.loudness,mean.speechiness,mean.acousticness,mean.instrumentalness,mean.liveness,mean.valence,mean.tempo,mean.musicalsim2spain,total.population,percentage.spanishSpkrs
Germany,0.7483919274368227,-0.29399963641127014,0.20199390586477342,-0.04768877655656187,-0.00632309513512722,-0.10537898928294978,-0.021009365371893813,0.16297350287243947,-0.1791946953465765,-0.09634220115341147,0.08851335777906284,0.053745339182188816,0.23906921979259507,0.05201235869206567,-0.08215045721998385,-0.6722100559864358
Austria,-0.43003815603282536,-0.2357473043816689,0.05160428252019764,-0.10560952463191395,-0.026073487953102447,-0.06866854676942052,-0.06147614962138522,-0.10027178363368383,-0.13466031589359115,-0.09375870324109709,0.1991592105000385,0.09843643820537223,0.14514192520943905,-0.0973352459704156,-0.16796403968318144,-0.6722100559864358
Belgium,-0.12546480500350465,-0.08191973966968388,0.17475877248974786,-0.027317934332271202,-0.02392321882624994,0.16706794449974313,0.048163342915294935,0.2029185921199239,-0.18227299101207942,-0.14115156297757162,0.02951117767107241,-0.10728306225826141,0.12800690401432702,0.11743844653846996,-0.16485940284011344,-0.6480997691746984
Denmark,-0.41480352872495524,4.0169073934974355e-05,0.055814105567898,-0.16275590941847154,-0.07233088659103007,-0.12844051101817322,-0.036667695636070675,-0.17986716554226675,-0.24277132684058708,-0.17119982378158452,0.044750811370620994,0.0975622866264239,0.1335549672476361,-0.17631490986650333,-0.17107776084989618,-0.6722100559864358
Estonia,-0.46222084061473184,-0.08041549221179664,0.19394990076396393,-0.350033199739274,-0.17639108147872065,-0.005400239149271156,-0.2421085254136606,-0.035930862653685135,-0.12043940711688159,0.14958120895872998,0.17336550855329483,-0.48905429280631946,0.2231189564304328,-0.5770665309406199,-0.17583132145345537,-0.7445409164216479
Finland,-0.3964549286959655,-0.11920864471187277,-0.04668727069515983,0.07220655449715056,0.15319455080974834,-0.09558575836196326,0.20722243201003257,-0.14549891794110692,-0.40683623336041635,-0.07504587189460317,0.05660583011143853,0.14352351831406476,0.08443268577504584,0.5467354946817883,-0.17135238940656175,-0.6963203427981731
France,1.0907575837633683,-0.24522934847768518,0.6745484562823627,0.07639849516907647,0.030460676750174442,0.26412933120863796,0.05892569377913526,0.4616197090666282,0.09466701571828397,-0.09384555195740299,-0.1998542389134808,-0.01761755183760157,0.15344874671860198,0.21294957264583622,-0.1002130349069324,-0.4311071878690618
Hungary,-0.40607993528851716,-0.385235684833449,0.4158698061921804,0.1070911062629693,-0.058732022055442576,-0.01035205674703698,-0.12630728673544978,0.12215179695430932,-0.12446672529142858,-0.16227110814945545,-0.02836508513872684,-0.09702287276552733,0.09705702292118625,0.11017382005182198,-0.16595880741746818,-0.7445409164216479
Ireland,-0.36700628236442007,0.10768225680419875,-0.06147640613275706,-0.3868569401689427,-0.21141829331037096,-0.15976461966991065,-0.23571541381902172,-0.2041792601009318,0.011639874587615293,-0.047440231674225425,0.1132862692504289,-0.07284080950653686,0.22301026263696372,-0.7750241446831677,-0.17211168230819468,-0.6722100559864358
Italy,0.5798798151121178,-0.23567478085769644,0.5174792330659401,-0.15788219539010276,0.38424676779852424,0.03216683649386465,0.4330355932041463,0.3447349273533155,-0.3698339728720689,-0.16595379529594842,0.09299518367114548,-0.335068433376459,0.02766704222322994,0.5005361222243015,-0.10806943677484934,-0.5034380483042741
Netherlands,-0.1261203782079509,-0.1147873515744665,0.1368345813922659,0.0029837947187048163,-0.05475682510712469,0.05929519932552038,-0.024175865556220314,0.08489320652164135,-0.33810951056949123,0.02168716349892135,0.10304139141364571,0.10967141710729547,-0.04980919391559992,0.1212815795983031,-0.1582819142109599,-0.6480997691746984
Portugal,0.2185770328116819,0.021974073954002284,4.5231308410654523e-17,-0.07931985336356699,-0.28582457006992545,0.05918293604929722,-0.040723713603453816,0.17491179246249894,0.16508124825551268,-0.03078730442038017,0.13528261460597943,-0.20942819138618657,0.20152075285869242,-0.5216867500964147,-0.16518157360605817,-0.5275483351160114
Slovakia,-0.4396110147568415,-0.1465369149010652,0.4404129422953256,-0.15486577298141055,-0.021592118460628272,-0.020062054293203777,-0.14439404130144512,0.1416539670822335,-0.16699681368327127,-0.06733205028927258,0.08386947572476731,-0.14719737729031734,0.15904566324518235,-0.18389341192367142,-0.17111131036262342,-0.7445409164216479
Romania,3.662586164196992,-0.12618655432945594,0.34255667540984774,0.21795878062420504,0.025509058825751798,0.029296600153314045,-0.09887436202734017,0.13096193295857167,-0.28784007264668066,-0.10529922763703624,0.09808575836970326,-0.2980659041681794,0.17683865244155383,0.1244497955790888,-0.15291469140888528,-0.6480997691746984
Sweden,-0.34094724748768185,-0.2682367924474882,-0.11782977842111773,-0.47242035005526267,-0.35113933952607035,-0.020750298578350108,-0.2541893279725034,-0.20504642336297912,0.2259113686154888,-0.05605106955696326,0.09726821007135435,0.005228336650816962,0.12983120132022893,-0.6679917726595934,-0.16641867469456226,-0.623989482362961
Norway,-0.4014089762068377,-0.21759429861219814,-0.06374397849011285,-0.5217824603554034,-0.29398308006646046,-0.0748318100374809,-0.12810552550864152,-0.22386205123046893,0.016557464675183993,-0.15226719142573691,0.09917876584639695,-0.2928872993549892,0.20000480310601923,-0.5544020277545094,-0.17144273940247876,-0.7083754862040418
United Kingdom,1.6649354151212066,0.22513985456302035,0.03927659280703933,-0.39186282955026175,-0.12665444972402426,-0.1525913397978744,-0.2063907163522899,-0.06618840801599737,-0.09846316734415239,-0.04978210163787227,0.1459707388486091,-0.17378867083273167,0.15788425139442555,-0.7130011845468648,-0.10058638824919083,-0.623989482362961
Switzerland,-0.029274336642028574,-0.1378727688891528,0.17533071029062344,-0.05597036757512323,-0.05398413682483089,-0.03561666492457845,-0.06412077767861615,0.10409007757240203,-0.13832446471088436,-0.1158933127055196,0.061643272244893174,-0.02366419800205196,0.08909159564175644,-0.10292672678213179,-0.1675467730545821,-0.7083754862040418
Turkey,-0.431788834476517,-0.4654382289683447,-0.0706978670526706,-0.25699937454595184,-0.040923300449226985,-0.055662395526983884,-0.4508307529286393,0.041940152189809246,-0.13213325581787358,0.1656572548029408,0.020268843132524583,-0.34284510987237116,-0.2752421278699043,-0.42938601341225224,-0.08166544955212733,-0.7638291458710379
Morocco,6.604314475543903,0.01253258409585341,0.3876979806114199,0.057142521915523714,-0.13359314947525078,0.027861481983038727,-0.4240557685826045,0.6105287105565583,0.09706767351920224,0.008311836223958867,-0.10971348342807576,0.018684907221359296,0.03952388619004692,-0.3668724594859758,-0.13661240341679917,-0.5275483351160114
Costa Rica,-0.4390746366804764,0.033330766485096246,0.22093083453959597,0.37749600155846164,0.22291208805255516,-0.21864996205695864,0.5561888309577339,0.08956021832099058,-0.19935649805542335,-0.15068318011485463,0.051715406493752954,0.045199516960276624,-0.0226369134093604,0.8756348871093023,-0.17133221918682448,1.6255002771721376
Guatemala,-0.37028414838665125,0.050996042872818816,0.06797871831987572,0.4531149296124645,0.4153589664468698,-0.2559055377625511,0.7494574734516779,-0.2546646540475736,-0.28481200701069476,-0.12710928473630098,0.023705310612188633,0.09697326812517033,-0.37773442401414337,0.898709662208917,-0.15748999876840045,1.3144775773007256
Nicaragua,0.031969610105159696,0.15181455678927616,0.17169481998505737,0.4955314640743926,0.38960997644567935,-0.26248342555180176,0.5497012284918286,-0.024064702083285802,-0.2300463253727708,-0.14113328135099093,0.07340888443821376,0.15612424639202926,-0.08281539212583404,0.8588471559145893,-0.16980637782650135,1.5724576461863153
Panama,-0.4342546836886955,0.015666071368293465,0.1784606352785864,0.3144935171552402,0.31767365339623677,-0.12486017106926801,0.5593917582436224,0.10311493767565294,-0.14861839350302433,-0.15409222519792107,0.0007869924985834231,0.144639053163969,-0.02887912082087487,0.922196749552558,-0.1724581740676064,1.447084154765281
Canada,-0.4209495275166388,0.041444386479702694,0.06059817175943212,-0.35701429707578775,-0.40900398317457903,0.10343070449210685,-0.4203701676253786,-0.13129424913434334,0.13889659064268597,-0.0923338029120549,0.10683940838508536,-0.209724682387406,0.18061891777912262,-0.8482624903846442,-0.1377518394430282,-0.7035534288416944
Mexico,-0.01645341067780147,-0.0668355889633399,-0.03073820306637846,0.3136581829871531,0.13480349043752118,0.13075321514755936,0.47297904105023303,-0.23460078283377447,-0.12762926335551109,-0.026659148648252296,0.12039934383141206,0.21281995476980364,0.00616116998399155,0.8308537949624063,-0.028445830962598513,1.623089248490964
Argentina,1.771868344400995,-0.12646358199213775,0.10653103254512031,0.49897353871824773,0.14181075616024938,-0.16855311581450305,0.4548632441557509,0.10709874587893964,-0.2947815393234005,-0.1430513150952554,-0.08378857449795346,0.04899112867869935,-0.29280973279021283,0.8634846515463457,-0.12444294595587894,1.6303223345344853
Bolivia,0.8479869066441162,-0.07241087382261073,6.29126380620922e-17,0.4794217883329137,0.309031448525287,-0.2227101505470292,0.7727516607364068,-0.18393319821635196,-0.38941575178279186,-0.11714433774687398,0.02636568698662629,0.05524741689280922,-0.2258741899932895,0.9086862817851294,-0.16361471317134962,1.3506430075183316
Brazil,0.6874087200323119,-0.21596404040982256,-0.14139573410534134,-0.04769535865083824,0.6230336055398054,0.011156706481034208,0.8137248091395444,0.0017237372423268157,0.3829180952342202,-0.05056028392247163,1.4557759676397168,0.5114145473129872,0.24368797638768958,0.38929896725983465,0.06766357121480567,-0.7083754862040418
Chile,-0.01416635415774469,0.13365921793488042,0.36762890867388764,0.7901262576030446,0.4939385596171698,-0.10763280819988684,0.62857741015749,-0.045366571803428714,-0.3742018521221929,-0.08834928134137932,-0.05966392323011764,0.33764232735619826,-0.5193848919147135,0.8606418858728563,-0.15466253221578732,1.6255002771721376
Colombia,3.5335574380491632,0.10423364593992739,0.2326765244771442,0.6633311263567275,0.43299599532426764,0.04372044606722025,0.7187059951565463,0.20489053832383303,-0.19878856115694798,-0.119902168551733,-0.011491251660885372,0.28300172081084074,-0.04889937680400793,0.8961978304972201,-0.11829215160186068,1.623089248490964
Ecuador,2.625074520901266,0.1017118636198,0.03073820306637862,0.5100764615351676,0.3404296019506518,-0.337303296502809,0.6654830751386054,0.00037990801361926883,-0.24011382497547162,-0.1451581198182054,-0.08188006583326364,0.05423951812087628,-0.24794633087011986,0.8726690172979122,-0.1574143372700907,1.5965679329980529
Peru,1.4035926471078126,0.1062064181948781,0.011402881782688888,0.5121087869979285,0.4820128937685001,-0.2909662224907036,0.843322664468789,-0.07004769525598713,-0.3149107823287464,-0.16426981212111286,-0.0790183418138089,0.11986377760428041,-0.2538123816709213,0.9052293965228423,-0.13905048917027893,1.3192996346630728
India,-0.048762740083294176,0.30701675739680423,-0.5692555528916342,-0.24948681148775642,-0.17846941539876846,-0.042645687343603765,-0.22371416290543214,-0.25519020678879123,0.32016820263017043,-0.12148119379676187,-0.11880274353920858,-0.20896069205837564,-0.11820330163093051,-0.53785480269463,1.4096498023526733,-0.7685788723729502
Israel,-0.45279697580081707,0.030494337379909513,-0.17674466763167665,-0.24352802159359493,-0.17631019113257015,-0.04560859545633304,-0.01972078562621001,-0.23373766255372383,0.10089290866644295,-0.1364908904635289,0.24587988898519933,-0.3415630931768595,0.13222987269558956,-0.42722305058166055,-0.16921507853657516,-0.7083754862040418
Japan,-0.4287940568834785,0.5884985849449255,-0.7069786705267067,-0.38893029986600747,0.7801240493441703,-0.28081371751052325,0.8791983057872276,-0.5095161491597243,-0.47124117099850615,-0.17200424699660388,0.1656938461024141,0.22676037284913572,-0.054963960627748526,0.38071526877484957,-0.031684438119058994,-0.7662401745522116
Australia,-0.42721472143640343,0.12135894951393204,0.18604701855965977,-0.3283821869734655,-0.3484734988022628,-0.0857016848069043,-0.17844273601759325,0.008992476982235157,-0.021806608707435005,-0.05065247267652408,0.055406057130020114,-0.3862976720406886,0.1283546029460244,-0.6546688855086502,-0.15274089220712309,-0.7083754862040418
New Zealand,-0.4715031612140502,0.12084491181425733,0.2592255125264593,-0.04978407656788122,-0.2778121262240688,0.05260929754156395,-0.11749920006458867,0.0677161436409714,-0.17082824089325233,0.01693327278244832,-0.10281174715721149,-0.3258753233196494,0.10547091874542876,-0.39863540152669347,-0.17149172013466343,-0.7421298877404742
